name_part1,name_part2,name_fluid1,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
Al2O3,,water,Ceramic,polyvinyl chloride,A6114,,,,,0.0,,2.0,2073.0,0.2,0.553
HAP,,water,Ceramic,PVC,Dynol 604,0.0075,DuPont Elvanol,0.015,253.0,0.0,,3.0,1623.0,0.1,0.7
Al2O3,,water,Ceramic,PDMS,HydroDisper A160,,PVA,0.06,,0.0,36.0,3.0,1123.0,0.15,0.67
YSZ,,water,Ceramic,glass,,,PVA,0.02,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
Al2O3,,water,Ceramic,PDMS,HydroDisper A160,,PVA,0.01,,0.0,36.0,3.0,873.0,0.1,0.84
HAP,BT,water,Ceramic,PDMS,HydroDisper A160,0.01,,,,0.0,36.0,3.0,1373.0,0.4,0.42
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.73
Y2SiO5,,TBA,Ceramic,polyethylene,citric acid,,PVB,,,0.0,,1.0,1473.0,0.15,0.56
HAP,TCP,camphene,Ceramic,,Dolapix CE 64,0.06,,,,0.0,,3.0,1573.0,0.11,0.5
fireclay,,water,Ceramic,polystyrene,Lioperse 511,0.004,gelatin,0.06,,0.0,24.0,2.0,823.0,0.1751,0.7312
TiO2,,water,Ceramic,PVC,Darvan 811,0.01,PVA,0.01,,10.0,72.0,3.0,1273.0,0.1,0.855
Mullite,,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,0.0,1.0,1873.0,0.1583,0.71
kaolinite,Al2O3,water,Ceramic,"plastic, noi",,,,,233.0,0.0,24.0,2.0,1773.0,0.05,0.915
HAP,,water,Ceramic,PVC,Dynol 604,0.0075,PVA,0.015,253.0,0.0,,3.0,1623.0,0.2,0.37
Bentonite,,water,Ceramic,PTFE,,,,,208.0,0.0,24.0,1.0,873.0,0.0235,0.97
YSZ,,camphene,Ceramic,polyethylene,,,,,278.0,0.0,,2.0,1823.0,0.1,0.85
SiO2,,water,Ceramic,glass,,,,,,0.0,,,,0.0038,0.6
Al2O3,ZrO2,TBA,Ceramic,epoxy,citric acid,0.01,PVB,,77.0,0.0,,,1773.0,0.15,0.48
LSM,YSZ,water,Ceramic,,Darvan CN,0.02,PEG,0.01,,38.0,12.0,1.0,873.0,0.17,0.65
YSZ,,water,Ceramic,,Darvan C,,Duramax B-1001,,,0.0,,,,0.5,0.59
chitin,,water,Polymer,glass,,,PVA,0.02,77.0,0.0,24.0,,,0.0053,0.981
WO3,,water,Metal,Teflon,,,,,253.0,0.0,,,1023.0,0.25,0.465
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,0.0,4.0,1873.0,0.43,0.2
YSZ,,TBA,Ceramic,,fish oil,,PVB,,,0.0,,0.5,773.0,0.1,0.7
BT,kaolinite,water,Ceramic,,,,PVA,0.002,243.0,0.0,0.0,,873.0,0.11,0.68
chitosan,HAP,water,Polymer,,acetic acid,,,,77.0,0.0,0.0,,,0.09,0.503
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Al2O3,,water,Ceramic,copper,SND 6800,0.02,PVA,0.01,,0.0,24.0,2.0,8873.0,0.3,0.42
YSZ,,TBA,Ceramic,,,,PVB,0.005,195.0,,,1.0,1723.0,0.15,0.74
